,ID,Title,Abstract,Keywords,Publication date
28,"39678866
26291008
22980975
37539167
37509617
37477745
27793572
31828774
30555485
33634371
32122675
35738057
33801859
31417906
33987946
31484154
35690630
29595317
17075297
33931925
32558385
36959799
36551992
36816361
36801634
36211383
25465800
34906767
34795387
33450785
34800678
37164265
36371443",Predicting prognosis in lung adenocarcinoma by predicting TIGIT expression: a pathomics model.,"Traditional diagnostic methods have limited efficacy in predicting the prognosis of lung adenocarcinoma (LUAD), T cell immunoreceptor with immunoglobulin and immunoreceptor tyrosine-based inhibitory motif domain (TIGIT) is a new biomarker. This study aimed to evaluate TIGIT expression as a LUAD biomarker and predict patient prognosis using a pathological feature model.
Clinical data and pathological images from The Cancer Genome Atlas (TCGA) were analyzed. The prognostic value of TIGIT was verified by genetic prognostic analysis and gene set enrichment analysis (GSEA). The OTSU algorithm was used to segment LUAD pathological images, and features were extracted using the PyRadiomics package and standardized with z-scores. Feature selection was performed using min-redundancy, recursive feature elimination (RFE) and stepwise regression algorithms, and a logistic regression algorithm was used to establish the pathomics model. Receiver operating characteristics, calibration, and decision curves were used for model evaluation. The pathomics score (PS) was used to predict TIGIT gene expression and analyze prognostic value and pathological mechanisms through Spearman correlation.
The study included 443 clinical samples and 327 pathological images. Prognostic analysis showed significantly higher TIGIT expression in tumor tissues (P<0.001), with TIGIT being a protective factor for overall survival (OS) in LUAD [hazard ratio (HR) =0.65; 95% confidence interval (CI): 0.44-0.95; P=0.03]. GSEA revealed significant enrichment of differentially expressed genes in the TGF-β and MAPK signaling pathways. From 465 pathological features, the four best features were selected to construct a pathomics model with good predictive performance. Higher PS values were observed in the TIGIT high-expression group, correlating with improved OS (P=0.009). PS was positively correlated with the epithelial-mesenchymal transition related (EMT-related) genes (
TIGIT expression is significantly correlated with LUAD prognosis and can effectively predict patient outcomes.","T cell immunoreceptor with immunoglobulin and immunoreceptor tyrosine-based inhibitory motif domain (TIGIT)"", ""lung adenocarcinoma (LUAD)"", ""mechanisms of pathology"", ""pathomics"", ""prognostic model",2024-12-16
29,39121059,Glypred: Lysine Glycation Site Prediction via CCU-LightGBM-BiLSTM Framework with Multi-Head Attention Mechanism.,"Glycation, a type of posttranslational modification, preferentially occurs on lysine and arginine residues, impairing protein functionality and altering characteristics. This process is linked to diseases such as Alzheimer's, diabetes, and atherosclerosis. Traditional wet lab experiments are time-consuming, whereas machine learning has significantly streamlined the prediction of protein glycation sites. Despite promising results, challenges remain, including data imbalance, feature redundancy, and suboptimal classifier performance. This research introduces Glypred, a lysine glycation site prediction model combining ClusterCentroids Undersampling (CCU), LightGBM, and bidirectional long short-term memory network (BiLSTM) methodologies, with an additional multihead attention mechanism integrated into the BiLSTM. To achieve this, the study undertakes several key steps: selecting diverse feature types to capture comprehensive protein information, employing a cluster-based undersampling strategy to balance the data set, using LightGBM for feature selection to enhance model performance, and implementing a bidirectional LSTM network for accurate classification. Together, these approaches ensure that Glypred effectively identifies glycation sites with high accuracy and robustness. For feature encoding, five distinct feature types─AAC, KMER, DR, PWAA, and EBGW─were selected to capture a broad spectrum of protein sequence and biological information. These encoded features were integrated and validated to ensure comprehensive protein information acquisition. To address the issue of highly imbalanced positive and negative samples, various undersampling algorithms, including random undersampling, NearMiss, edited nearest neighbor rule, and CCU, were evaluated. CCU was ultimately chosen to remove redundant nonglycated training data, establishing a balanced data set that enhances the model's accuracy and robustness. For feature selection, the LightGBM ensemble learning algorithm was employed to reduce feature dimensionality by identifying the most significant features. This approach accelerates model training, enhances generalization capabilities, and ensures good transferability of the model. Finally, a bidirectional long short-term memory network was used as the classifier, with a network structure designed to capture glycation modification site features from both forward and backward directions. To prevent overfitting, appropriate regularization parameters and dropout rates were introduced, achieving efficient classification. Experimental results show that Glypred achieved optimal performance. This model provides new insights for bioinformatics and encourages the application of similar strategies in other fields. A lysine glycation site prediction software tool was also developed using the PyQt5 library, offering researchers an auxiliary screening tool to reduce workload and improve efficiency. The software and data sets are available on GitHub: https://github.com/ZBYnb/Glypred.","T cell immunoreceptor with immunoglobulin and immunoreceptor tyrosine-based inhibitory motif domain (TIGIT)"", ""lung adenocarcinoma (LUAD)"", ""mechanisms of pathology"", ""pathomics"", ""prognostic model",2024-08-09
30,"39102448
34396389
32076369
30295871
29272335
31792509
31220206
33402734
34383739
28679163
30854223
32730565
29925568
28459819
29807109
28541380
33125081
18832364
23000897
29617669
26824661
25079552
22960745
21720365
26544944
25417114
11928511
18698038
10963602
19204204
9195569
25583177
31691815
33051456
26095251
29322925
30704449
33119407
21816040
21527027
21118553
32484539
23740750
25075120
32117445
11674852
25158761
29625055",COPS: A novel platform for multi-omic disease subtype discovery via robust multi-objective evaluation of clustering algorithms.,"Recent research on multi-view clustering algorithms for complex disease subtyping often overlooks aspects like clustering stability and critical assessment of prognostic relevance. Furthermore, current frameworks do not allow for a comparison between data-driven and pathway-driven clustering, highlighting a significant gap in the methodology. We present the COPS R-package, tailored for robust evaluation of single and multi-omics clustering results. COPS features advanced methods, including similarity networks, kernel-based approaches, dimensionality reduction, and pathway knowledge integration. Some of these methods are not accessible through R, and some correspond to new approaches proposed with COPS. Our framework was rigorously applied to multi-omics data across seven cancer types, including breast, prostate, and lung, utilizing mRNA, CNV, miRNA, and DNA methylation data. Unlike previous studies, our approach contrasts data- and knowledge-driven multi-view clustering methods and incorporates cross-fold validation for robustness. Clustering outcomes were assessed using the ARI score, survival analysis via Cox regression models including relevant covariates, and the stability of the results. While survival analysis and gold-standard agreement are standard metrics, they vary considerably across methods and datasets. Therefore, it is essential to assess multi-view clustering methods using multiple criteria, from cluster stability to prognostic relevance, and to provide ways of comparing these metrics simultaneously to select the optimal approach for disease subtype discovery in novel datasets. Emphasizing multi-objective evaluation, we applied the Pareto efficiency concept to gauge the equilibrium of evaluation metrics in each cancer case-study. Affinity Network Fusion, Integrative Non-negative Matrix Factorization, and Multiple Kernel K-Means with linear or Pathway Induced Kernels were the most stable and effective in discerning groups with significantly different survival outcomes in several case studies.","T cell immunoreceptor with immunoglobulin and immunoreceptor tyrosine-based inhibitory motif domain (TIGIT)"", ""lung adenocarcinoma (LUAD)"", ""mechanisms of pathology"", ""pathomics"", ""prognostic model",2024-08-05
31,"38903815
34090378
33777622
17765951
28634929
28975236
31528770
17019419
32354568
35247835
32491159
28464285
31848468
34185303
37059068
35955742
35440697
37106067
32928475
30453885
29194105
36638952
31778654
27306986
35550855
23759446
30966575
30184043
36047410
29377287
30973282
29927883
36278172
30628641
35669499
36076300
35651615",Elucidating the multifaceted roles of GPR146 in non-specific orbital inflammation: a concerted analytical approach through the prisms of bioinformatics and machine learning.,"Non-specific Orbital Inflammation (NSOI) is a chronic idiopathic condition marked by extensive polymorphic lymphoid infiltration in the orbital area. The integration of metabolic and immune pathways suggests potential therapeutic roles for C-peptide and G protein-coupled receptor 146 (GPR146) in diabetes and its sequelae. However, the specific mechanisms through which GPR146 modulates immune responses remain poorly understood. Furthermore, the utility of GPR146 as a diagnostic or prognostic marker for NSOI has not been conclusively demonstrated.
We adopted a comprehensive analytical strategy, merging differentially expressed genes (DEGs) from the Gene Expression Omnibus (GEO) datasets GSE58331 and GSE105149 with immune-related genes from the ImmPort database. Our methodology combined LASSO regression and support vector machine-recursive feature elimination (SVM-RFE) for feature selection, followed by Gene Set Enrichment Analysis (GSEA) and Gene Set Variation Analysis (GSVA) to explore gene sets co-expressed with GPR146, identifying a significant enrichment in immune-related pathways. The tumor microenvironment's immune composition was quantified using the CIBERSORT algorithm and the ESTIMATE method, which confirmed a positive correlation between GPR146 expression and immune cell infiltration. Validation of GPR146 expression was performed using the GSE58331 dataset.
Analysis identified 113 DEGs associated with GPR146, with a significant subset showing distinct expression patterns. Using LASSO and SVM-RFE, we pinpointed 15 key hub genes. Functionally, these genes and GPR146 were predominantly linked to receptor ligand activity, immune receptor activity, and cytokine-mediated signaling. Specific immune cells, such as memory B cells, M2 macrophages, resting mast cells, monocytes, activated NK cells, plasma cells, and CD8+ T cells, were positively associated with GPR146 expression. In contrast, M0 macrophages, naive B cells, M1 macrophages, activated mast cells, activated memory CD4+ T cells, naive CD4+ T cells, and gamma delta T cells showed inverse correlations. Notably, our findings underscore the potential diagnostic relevance of GPR146 in distinguishing NSOI.
Our study elucidates the immunological signatures associated with GPR146 in the context of NSOI, highlighting its prognostic and diagnostic potential. These insights pave the way for GPR146 to be a novel biomarker for monitoring the progression of NSOI, providing a foundation for future therapeutic strategies targeting immune-metabolic pathways.","GPR146"", ""LASSO regression"", ""SVM-RFE"", ""autoimmune inflammatory disorder"", ""non-specific orbital inflammation (NSOI)",2024-06-21
32,"38837347
29625053
21164525
34714749
27387949
22984174
33171345
29213124
23442211
33241287
14741005
20702140
31165141
35892673
22956589
37072766
31985777
28292312
32746371
33105909
25436094
19068426
29628290
25691825
24316577",Improving the performance and interpretability on medical datasets using graphical ensemble feature selection.,"A major hindrance towards using Machine Learning (ML) on medical datasets is the discrepancy between a large number of variables and small sample sizes. While multiple feature selection techniques have been proposed to avoid the resulting overfitting, overall ensemble techniques offer the best selection robustness. Yet, current methods designed to combine different algorithms generally fail to leverage the dependencies identified by their components. Here, we propose Graphical Ensembling (GE), a graph-theory-based ensemble feature selection technique designed to improve the stability and relevance of the selected features.
Relying on four datasets, we show that GE increases classification performance with fewer selected features. For example, on rheumatoid arthritis patient stratification, GE outperforms the baseline methods by 9% Balanced Accuracy while relying on fewer features. We use data on sub-cellular networks to show that the selected features (proteins) are closer to the known disease genes, and the uncovered biological mechanisms are more diversified. By successfully tackling the complex correlations between biological variables, we anticipate that GE will improve the medical applications of ML.
https://github.com/ebattistella/auto_machine_learning.","GPR146"", ""LASSO regression"", ""SVM-RFE"", ""autoimmune inflammatory disorder"", ""non-specific orbital inflammation (NSOI)",2024-06-05
33,"38743473
22781489
31646432
25932596
29576326
32068421
23459093
26319194
29401044
30999271
30913982
31509183
32862761
31060042
29352025
32599801
35482397
28768327
32360953
21477282
13638508
14399272
24615234
26975466
34713137
31548678
16982430
12704603
32324581",Optimizing Outcomes in Psychotherapy for Anxiety Disorders Using Smartphone-Based and Passive Sensing Features: Protocol for a Randomized Controlled Trial.,"Psychotherapies, such as cognitive behavioral therapy (CBT), currently have the strongest evidence of durable symptom changes for most psychological disorders, such as anxiety disorders. Nevertheless, only about half of individuals treated with CBT benefit from it. Predictive algorithms, including digital assessments and passive sensing features, could better identify patients who would benefit from CBT, and thus, improve treatment choices.
This study aims to establish predictive features that forecast responses to transdiagnostic CBT in anxiety disorders and to investigate key mechanisms underlying treatment responses.
This study is a 2-armed randomized controlled clinical trial. We include patients with anxiety disorders who are randomized to either a transdiagnostic CBT group or a waitlist (referred to as WAIT). We index key features to predict responses prior to starting treatment using subjective self-report questionnaires, experimental tasks, biological samples, ecological momentary assessments, activity tracking, and smartphone-based passive sensing to derive a multimodal feature set for predictive modeling. Additional assessments take place weekly at mid- and posttreatment and at 6- and 12-month follow-ups to index anxiety and depression symptom severity. We aim to include 150 patients, randomized to CBT versus WAIT at a 3:1 ratio. The data set will be subject to full feature and important features selected by minimal redundancy and maximal relevance feature selection and then fed into machine leaning models, including eXtreme gradient boosting, pattern recognition network, and k-nearest neighbors to forecast treatment response. The performance of the developed models will be evaluated. In addition to predictive modeling, we will test specific mechanistic hypotheses (eg, association between self-efficacy, daily symptoms obtained using ecological momentary assessments, and treatment response) to elucidate mechanisms underlying treatment response.
The trial is now completed. It was approved by the Cantonal Ethics Committee, Zurich. The results will be disseminated through publications in scientific peer-reviewed journals and conference presentations.
The aim of this trial is to improve current CBT treatment by precise forecasting of treatment response and by understanding and potentially augmenting underpinning mechanisms and personalizing treatment.
ClinicalTrials.gov NCT03945617; https://clinicaltrials.gov/ct2/show/results/NCT03945617.
DERR1-10.2196/42547.","CBT"", ""EMA"", ""anxiety"", ""cognitive behavioral therapy"", ""digital"", ""ecological momentary assessment"", ""passive sensing"", ""transdiagnostic",2024-05-15
34,38658129,Stable feature selection utilizing Graph Convolutional Neural Network and Layer-wise Relevance Propagation for biomarker discovery in breast cancer.,"High-throughput technologies are becoming increasingly important in discovering prognostic biomarkers and in identifying novel drug targets. With Mammaprint, Oncotype DX, and many other prognostic molecular signatures breast cancer is one of the paradigmatic examples of the utility of high-throughput data to deliver prognostic biomarkers, that can be represented in a form of a rather short gene list. Such gene lists can be obtained as a set of features (genes) that are important for the decisions of a Machine Learning (ML) method applied to high-dimensional gene expression data. Several studies have identified predictive gene lists for patient prognosis in breast cancer, but these lists are unstable and have only a few genes in common. Instability of feature selection impedes biological interpretability: genes that are relevant for cancer pathology should be members of any predictive gene list obtained for the same clinical type of patients. Stability and interpretability of selected features can be improved by including information on molecular networks in ML methods. Graph Convolutional Neural Network (GCNN) is a contemporary deep learning approach applicable to gene expression data structured by a prior knowledge molecular network. Layer-wise Relevance Propagation (LRP) and SHapley Additive exPlanations (SHAP) are methods to explain individual decisions of deep learning models. We used both GCNN+LRP and GCNN+SHAP techniques to construct feature sets by aggregating individual explanations. We suggest a methodology to systematically and quantitatively analyze the stability, the impact on the classification performance, and the interpretability of the selected feature sets. We used this methodology to compare GCNN+LRP to GCNN+SHAP and to more classical ML-based feature selection approaches. Utilizing a large breast cancer gene expression dataset we show that, while feature selection with SHAP is useful in applications where selected features have to be impactful for classification performance, among all studied methods GCNN+LRP delivers the most stable (reproducible) and interpretable gene lists.","Classification of cancer"", ""Deep learning on graphs"", ""Explainable AI"", ""Feature selection"", ""Gene expression data"", ""Interpretability"", ""Molecular networks"", ""Prior knowledge"", ""Stability",2024-04-25
35,"38567001
33930763
36403092
29137965
34839903
30571626
32730208
32512209
35984792
36201885",CGUFS: A clustering-guided unsupervised feature selection algorithm for gene expression data.,"Gene expression data is typically high dimensional with a limited number of samples and contain many features that are unrelated to the disease of interest. Existing unsupervised feature selection algorithms primarily focus on the significance of features in maintaining the data structure while not taking into account the redundancy among features. Determining the appropriate number of significant features is another challenge.
In this paper, we propose a clustering-guided unsupervised feature selection (CGUFS) algorithm for gene expression data that addresses these problems. Our proposed algorithm introduces three improvements over existing algorithms. For the problem that existing clustering algorithms require artificially specifying the number of clusters, we propose an adaptive 
Experimental results show that the average accuracy (ACC) and matthews correlation coefficient (MCC) indexes of the C4.5 classifier on the optimal features selected by the CGUFS algorithm reach 74.37% and 63.84%, respectively, significantly superior to the existing algorithms.
Similarly, the average ACC and MCC indexes of the Adaboost classifier on the optimal features selected by the CGUFS algorithm are significantly superior to the existing algorithms. In addition, statistical experiment results show significant differences between the CGUFS algorithm and the existing algorithms.","Clustering-guided"", ""Gene expression data"", ""Spectral clustering"", ""Unsupervised feature selection"", ""k-means",2024-04-03
36,"38466662
35507598
32512209
35430037
32013925
32530560
24759275
32881682
35030211
35984792
35626502
31182028
28049413
28243816
33861809
29137965
31382212
28650835
33729976
20656651
33945538",A hybrid feature selection algorithm combining information gain and grouping particle swarm optimization for cancer diagnosis.,"Cancer diagnosis based on machine learning has become a popular application direction. Support vector machine (SVM), as a classical machine learning algorithm, has been widely used in cancer diagnosis because of its advantages in high-dimensional and small sample data. However, due to the high-dimensional feature space and high feature redundancy of gene expression data, SVM faces the problem of poor classification effect when dealing with such data.
Based on this, this paper proposes a hybrid feature selection algorithm combining information gain and grouping particle swarm optimization (IG-GPSO). The algorithm firstly calculates the information gain values of the features and ranks them in descending order according to the value. Then, ranked features are grouped according to the information index, so that the features in the group are close, and the features outside the group are sparse. Finally, grouped features are searched using grouping PSO and evaluated according to in-group and out-group.
Experimental results show that the average accuracy (ACC) of the SVM on the feature subset selected by the IG-GPSO is 98.50%, which is significantly better than the traditional feature selection algorithm. Compared with KNN, the classification effect of the feature subset selected by the IG-GPSO is still optimal. In addition, the results of multiple comparison tests show that the feature selection effect of the IG-GPSO is significantly better than that of traditional feature selection algorithms.
The feature subset selected by IG-GPSO not only has the best classification effect, but also has the least feature scale (FS). More importantly, the IG-GPSO significantly improves the ACC of SVM in cancer diagnostic.","Clustering-guided"", ""Gene expression data"", ""Spectral clustering"", ""Unsupervised feature selection"", ""k-means",2024-03-11
37,38459654,Navigating colorectal cancer prognosis: A Treg-related signature discovered through single-cell and bulk transcriptomic approaches.,"The significance of regulatory T cells (Tregs) in colorectal cancer is unclear.
The single-cell sequencing data for colorectal cancer, specifically GSE132465 and GSE188711, were retrieved from the GEO database. Simultaneously, bulk transcriptome data were obtained from the UCSC Xena website. To delve into the heterogeneity of Treg cells and identify key genes at the single-cell sequencing level, we employed dimensionality reduction techniques alongside clustering and conducted differential expression gene analysis. For the bulk transcriptome data, we utilized weighted co-expression network analysis to investigate critical gene modules. Additionally, we employed COX regression and Lasso regression methodologies to construct prognostic models, thereby assessing patient outcomes. To facilitate outcome evaluation, nomograms were constructed. The integration of these diverse approaches aims to comprehensively study colorectal cancer, encompassing single-cell heterogeneity, key gene identification, and prognosis modeling using both single-cell and bulk transcriptome data. Polymerase chain reaction (PCR) experiments are used to verify mRNA expression levels of key genes. The analysis software was R software (version 4.3.2).
Through single-cell sequencing analysis and bulk transcriptome analysis, we constructed a prognostic model composed with Treg-associated signatures. The high-risk group demonstrated significantly worse prognosis compared with the low-risk group, highlighting the clinical relevance of our models. PCR confirmed that the key gene DEAH-box helicase 15 (DHX15) was significantly overexpressed in colorectal cancer.
The prognostic models developed in this study offer a potential tool for risk assessment, guiding treatment decisions for colorectal cancer patients.","colorectal cancer"", ""prognosis"", ""regulatory T cells"", ""single‐cell sequencing"", ""transcriptome",2024-03-09
38,"38444760
23207911
23819024
30207593
35169688
36190501
20948564
21376230
20531367
22256870
20125086
35945544
35186034
34322589
33812473
21057215
19997069
34341396
21191423
29860027
16119262
10963602
15966800
22098854
16772266
17653589
9351551
12829800
30866472
30667505
34103512
19015660
24071849
25114856",Classifying breast cancer using multi-view graph neural network based on multi-omics data.,,"attention mechanism"", ""cancer differentiation"", ""cancer subtypes"", ""feature selection"", ""multi-omics data"", ""multi-view graph neural network",2024-03-06
39,38262204,Weighted Combination of Łukasiewicz implication and Fuzzy Jaccard similarity in Hybrid Ensemble Framework (WCLFJHEF) for Gene Selection.,"A framework is developed for gene expression analysis by introducing fuzzy Jaccard similarity (FJS) and combining Łukasiewicz implication with it through weights in hybrid ensemble framework (WCLFJHEF) for gene selection in cancer. The method is called weighted combination of Łukasiewicz implication and fuzzy Jaccard similarity in hybrid ensemble framework (WCLFJHEF). While the fuzziness in Jaccard similarity is incorporated by using the existing Gödel fuzzy logic, the weights are obtained by maximizing the average F-score of selected genes in classifying the cancer patients. The patients are first divided into different clusters, based on the number of patient groups, using average linkage agglomerative clustering and a new score, called WCLFJ (weighted combination of Łukasiewicz implication and fuzzy Jaccard similarity). The genes are then selected from each cluster separately using filter based Relief-F and wrapper based SVMRFE (Support Vector Machine with Recursive Feature Elimination). A gene (feature) pool is created by considering the union of selected features for all the clusters. A set of informative genes is selected from the pool using sequential backward floating search (SBFS) algorithm. Patients are then classified using Naïve Bayes'(NB) and Support Vector Machine (SVM) separately, using the selected genes and the related F-scores are calculated. The weights in WCLFJ are then updated iteratively to maximize the average F-score obtained from the results of the classifier. The effectiveness of WCLFJHEF is demonstrated on six gene expression datasets. The average values of accuracy, F-score, recall, precision and MCC over all the datasets, are 95%, 94%, 94%, 94%, and 90%, respectively. The explainability of the selected genes is shown using SHapley Additive exPlanations (SHAP) values and this information is further used to rank them. The relevance of the selected gene set are biologically validated using the KEGG Pathway, Gene Ontology (GO), and existing literatures. It is seen that the genes that are selected by WCLFJHEF are candidates for genomic alterations in the various cancer types. The source code of WCLFJHEF is available at http://www.isical.ac.in/~shubhra/WCLFJHEF.html.","Cluster"", ""Explainable AI (XAI)"", ""Feature selection"", ""Filter"", ""Gene expression data"", ""Microarray"", ""Wrapper",2024-01-24
40,37950946,Dual regularized subspace learning using adaptive graph learning and rank constraint: Unsupervised feature selection on gene expression microarray datasets.,"High-dimensional problems have increasingly drawn attention in gene selection and analysis. To add insult to injury, usually the number of features is greater than number of samples in microarray gene dataset which leads to an ill-posed underdetermined equation system. Poor performance and high computational time for learning algorithms are consequences of redundant features in high-dimensional data. Feature selection is a noteworthy pre-processing method to ameliorate the curse of dimensionality with aim of maximum relevancy and minimum redundancy information preservation. Likewise, unsupervised feature selection has been important since collecting labels for data is expensive. In this paper, we develop a novel robust unsupervised feature selection to select discriminative subset of features for unlabeled data based on rank constrained and dual regularized nonnegative matrix factorization. The major focus of the proposed technique is to discard redundant features while keeping the informative features. Proposed feature selection technique consists of nonnegative matrix factorization to decompose the data into feature weight matrix and representation matrix, inner product norm as regularization for both feature weight matrix and representation matrix, adaptive structure learning to preserve local information and Schatten-p norm as rank constraint. To demonstrate the effectiveness of the proposed method, numerical studies are conducted on six benchmark microarray datasets. The results show that the proposed technique outperforms eight state-of-art unsupervised feature selection techniques in terms of clustering accuracy and normalized mutual information.","Gene selection"", ""Inner product norm"", ""Local information preserving"", ""Microarray dataset"", ""Nonnegative matrix factorization"", ""Rank constraint"", ""Unsupervised feature selection",2023-11-12
41,"37578817
1177013
1177012
28694174
6630090
5667803
9603734
11247991
8994068
22046122
12522195
27835647
27835647
15214701
32589140
30345008
8930289
8930290
26787894
23209771
24425250
12815016
14762127
24391582
21780916
33057332
16889482
15006095
33859006
9449817
10704507
27830061
15748852
20616034",Composite receptive fields in the mouse auditory cortex.,"A central question in sensory neuroscience is how neurons represent complex natural stimuli. This process involves multiple steps of feature extraction to obtain a condensed, categorical representation useful for classification and behaviour. It has previously been shown that central auditory neurons in the starling have composite receptive fields composed of multiple features. Whether this property is an idiosyncratic characteristic of songbirds, a group of highly specialized vocal learners or a generic property of sensory processing is unknown. To address this question, we have recorded responses from auditory cortical neurons in mice, and characterized their receptive fields using mouse ultrasonic vocalizations (USVs) as a natural and ethologically relevant stimulus and pitch-shifted starling songs as a natural but ethologically irrelevant control stimulus. We have found that these neurons display composite receptive fields with multiple excitatory and inhibitory subunits. Moreover, this was the case with either the conspecific or the heterospecific vocalizations. We then trained the sparse filtering algorithm on both classes of natural stimuli to obtain statistically optimal features, and compared the natural and artificial features using UMAP, a dimensionality-reduction algorithm previously used to analyse mouse USVs and birdsongs. We have found that the receptive-field features obtained with both types of the natural stimuli clustered together, as did the sparse-filtering features. However, the natural and artificial receptive-field features clustered mostly separately. Based on these results, our general conclusion is that composite receptive fields are not a unique characteristic of specialized vocal learners but are likely a generic property of central auditory systems. KEY POINTS: Auditory cortical neurons in the mouse have composite receptive fields with several excitatory and inhibitory features. Receptive-field features capture temporal and spectral modulations of natural stimuli. Ethological relevance of the stimulus affects the estimation of receptive-field dimensionality.","UMAP"", ""auditory cortex"", ""receptive field"", ""sparse filtering"", ""ultrasonic vocalizations",2023-08-14
42,"37483989
36005460
26390495
10802651
17044174
35497193
17683991
35484501
21151556
17098774
34502778
36712859
28603919
10592173
22350210
36199022
28011753
20479497
18562478
12016052
19576292
32761115
30785707
31680165
36402891
29422764
28295837
31382212
20689721
33729976
35302941
31608109
37007972
17540678
18829357
24014201
30895309
33500779
35495139
34055490
17474999
19832995
33374969
36823571
33816987
35795215
35691092
28706271",Review of feature selection approaches based on grouping of features.,"With the rapid development in technology, large amounts of high-dimensional data have been generated. This high dimensionality including redundancy and irrelevancy poses a great challenge in data analysis and decision making. Feature selection (FS) is an effective way to reduce dimensionality by eliminating redundant and irrelevant data. Most traditional FS approaches score and rank each feature individually; and then perform FS either by eliminating lower ranked features or by retaining highly-ranked features. In this review, we discuss an emerging approach to FS that is based on initially grouping features, then scoring groups of features rather than scoring individual features. Despite the presence of reviews on clustering and FS algorithms, to the best of our knowledge, this is the first review focusing on FS techniques based on grouping. The typical idea behind FS through grouping is to generate groups of similar features with dissimilarity between groups, then select representative features from each cluster. Approaches under supervised, unsupervised, semi supervised and integrative frameworks are explored. The comparison of experimental results indicates the effectiveness of sequential, optimization-based (","Feature selection"", ""Feature grouping"", ""Integrative"", ""Supervised"", ""Unsupervised",2023-07-24
43,"37387178
28818938
27534536
30951143
29474909
25117810
30413715
35831796
31217225
34872616
29198524
34615861
24204762
25867923
24919153
33611426
33285568
33097004
33767197
35144027
20036813
34847932
28091601",CellBRF: a feature selection method for single-cell clustering using cell balance and random forest.,"Single-cell RNA sequencing (scRNA-seq) offers a powerful tool to dissect the complexity of biological tissues through cell sub-population identification in combination with clustering approaches. Feature selection is a critical step for improving the accuracy and interpretability of single-cell clustering. Existing feature selection methods underutilize the discriminatory potential of genes across distinct cell types. We hypothesize that incorporating such information could further boost the performance of single cell clustering.
We develop CellBRF, a feature selection method that considers genes' relevance to cell types for single-cell clustering. The key idea is to identify genes that are most important for discriminating cell types through random forests guided by predicted cell labels. Moreover, it proposes a class balancing strategy to mitigate the impact of unbalanced cell type distributions on feature importance evaluation. We benchmark CellBRF on 33 scRNA-seq datasets representing diverse biological scenarios and demonstrate that it substantially outperforms state-of-the-art feature selection methods in terms of clustering accuracy and cell neighborhood consistency. Furthermore, we demonstrate the outstanding performance of our selected features through three case studies on cell differentiation stage identification, non-malignant cell subtype identification, and rare cell identification. CellBRF provides a new and effective tool to boost single-cell clustering accuracy.
All source codes of CellBRF are freely available at https://github.com/xuyp-csu/CellBRF.","Feature selection"", ""Feature grouping"", ""Integrative"", ""Supervised"", ""Unsupervised",2023-06-30
44,"37056061
35741859
32972668
33859666
15852500
12169536
11751221
31713709
15890743
11934738
34839186
10521349
11473005
26761857
16119262
34998517
35494789
32750789
22174245
30191186
25994056
27006077
35130179",A Feature Selection Method Based on Graph Theory for Cancer Classification.,"Gene expression profile data is a good data source for people to study tumors, but gene expression data has the characteristics of high dimension and redundancy. Therefore, gene selection is a very important step in microarray data classification.
In this paper, a feature selection method based on the maximum mutual information coefficient and graph theory is proposed. Each feature of gene expression data is treated as a vertex of the graph, and the maximum mutual information coefficient between genes is used to measure the relationship between the vertices to construct an undirected graph, and then the core and coritivity theory is used to determine the feature subset of gene data.
In this work, we used three different classification models and three different evaluation metrics such as accuracy, F1-Score, and AUC to evaluate the classification performance to avoid reliance on any one classifier or evaluation metric. The experimental results on six different types of genetic data show that our proposed algorithm has high accuracy and robustness compared to other advanced feature selection methods.
In this method, the importance and correlation of features are considered at the same time, and the problem of gene selection in microarray data classification is solved.","Gene expression"", ""MIC"", ""cancer classification"", ""feature selection"", ""filters."", ""graph theory",2023-04-15
